sept20_publishFINAL
Operator,Technology1,Upload or Download,Speed,Signal Strength,Location
JIO,4G,upload,120,-97,Karnataka
JIO,4G,upload,110,na,Karnataka
JIO,4G,upload,160,na,Karnataka
JIO,4G,upload,25,na,Karnataka
JIO,4G,upload,12,na,Karnataka
JIO,4G,upload,29,-112,Karnataka
JIO,4G,upload,34,-108,Karnataka
JIO,4G,upload,676,-111,Karnataka
JIO,4G,upload,3703,-95,Karnataka
JIO,4G,upload,4407,-99,Karnataka
JIO,4G,upload,5583,-96,Karnataka
JIO,4G,download,1215,na,UP East
JIO,4G,download,3029,na,UP East
JIO,4G,download,3906,-82,UP East
JIO,4G,download,1893,-71,UP East
JIO,4G,upload,505,na,UP East
JIO,4G,upload,740,na,UP East
JIO,4G,upload,3864,-82,UP East
JIO,4G,upload,2049,-78,UP East
AIRTEL,4G,download,512,-111,Andhra Pradesh
AIRTEL,4G,download,523,na,Andhra Pradesh
AIRTEL,4G,download,3518,na,Andhra Pradesh
AIRTEL,4G,download,538,-112,Andhra Pradesh
AIRTEL,4G,download,7,na,Andhra Pradesh
AIRTEL,4G,download,1186,-112,Andhra Pradesh
AIRTEL,4G,download,1283,na,Andhra Pradesh
AIRTEL,4G,download,383,-111,Andhra Pradesh
